"rectal_temperature";"pulse";"respiratory_rate";"packed_cell_volume";"total_protein";"surgery";"Age";"temp_extremities";"peripheral_pulse";"mucous_membranes";"capillary_refill_time";"pain";"peristalsis";"abdominal_distension";"nasogastric_tube";"nasogastric_reflux";"rectal_examination";"abdomen";"outcome";"surgical_lesion"
35,3808379591433;76,4736308033831;20;53;5,9;"yes";"adult";"cold";"reduced";"pale pink";"<3";"continuous severe pain";"absent";"moderate";"slight";"none";"absent";"distended small intestine";"died";"yes"
37,7;120;28;65;7;"yes";"adult";"cool";"reduced";"pale pink";"<3";"continuous severe pain";"hypomotile";"moderate";"none";"none";"absent";"distended large intestine";"died";"yes"
43,3025123830883;112;24;40;5,3;"no";"adult";"cool";"reduced";"pale cyanotic";">=3";"continuous severe pain";"absent";"slight";"slight";"none";"absent";"distended large intestine";"lived";"no"
38,4;48;16;49;6,8;"no";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"hypomotile";"none";"slight";"<1l";"absent";"firm feces in large intestine";"lived";"no"
64,9590494867337;140;50,1997619526758;30;69;"yes";"adult";"cool";"normal";"pale cyanotic";">=3";"continuous severe pain";"absent";"severe";"none";"none";"absent";"distended large intestine";"died";"no"
38,1;60;12;51;65;"yes";"adult";"cool";"reduced";"pale pink";"<3";"intermittent mild pain";"absent";"moderate";"significant";">1l";"absent";"distended large intestine";"lived";"yes"
38;36;16;37;75;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent severe pain";"normal";"slight";"significant";"<1l";"decreased";"distended large intestine";"euthanized";"no"
39;86;16;68;5,8;"no";"adult";"cool";"reduced";"bright red";"<3";"intermittent mild pain";"hypomotile";"moderate";"slight";">1l";"absent";"distended large intestine";"died";"yes"
34,7172547585001;70;16;60;7,5;"yes";"adult";"cool";"absent";"bright red";">=3";"depressed";"hypomotile";"slight";"slight";"none";"absent";"distended large intestine";"died";"yes"
37,9;68;20;45;4;"yes";"adult";"cool";"normal";"bright pink";"<3";"depressed";"absent";"slight";"slight";"none";"normal";"distended large intestine";"died";"yes"
37,9;45;36;33;5,7;"no";"adult";"cool";"reduced";"pale pink";">=3";"depressed";"hypomotile";"none";"slight";"none";"decreased";"distended large intestine";"lived";"yes"
33,082039065122;56;68;40;6;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"normal";"distended large intestine";"euthanized";"yes"
48,5732388037223;80;32,995733091476;43;70;"yes";"adult";"cool";"reduced";"pale pink";"<3";"intermittent severe pain";"absent";"severe";"slight";"none";"absent";"distended large intestine";"lived";"yes"
37,6;68;32;47;7,2;"yes";"adult";"cool";"normal";"pale pink";"<3";"intermittent severe pain";"normal";"severe";"slight";">1l";"normal";"distended large intestine";"lived";"yes"
38;50;36;39;6,6;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"normal";"slight";"slight";"none";"decreased";"distended large intestine";"lived";"yes"
38;40;25;37;69;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent severe pain";"hypomotile";"slight";"none";"none";"absent";"distended large intestine";"lived";"no"
38,7;34;30;33;69;"yes";"adult";"warm";"normal";"pale pink";"<3";"depressed";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"euthanized";"yes"
0;0;0;0;0;"no";"adult";"warm";"normal";"pale pink";"<3";"depressed";"hypomotile";"slight";"slight";"none";"decreased";"firm feces in large intestine";"lived";"no"
37,2;42;12;26,8653915534374;7;"yes";"adult";"warm";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"significant";"none";"absent";"distended large intestine";"lived";"no"
39,2;88;20;50;85;"yes";"adult";"cool";"normal";"pale cyanotic";"<3";"intermittent mild pain";"absent";"slight";"slight";"none";"absent";"other";"euthanized";"no"
38,7;52;17,7605954762807;4;74;"no";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"hypomotile";"none";"slight";"none";"normal";"firm feces in large intestine";"lived";"no"
43,2131385054835;100;30;52;6,6;"yes";"adult";"cool";"reduced";"pale cyanotic";">=3";"continuous severe pain";"absent";"severe";"significant";"<1l";"absent";"distended small intestine";"lived";"yes"
38,3;88;37,119560838661;47,6364374356143;-4,26629648410599;"no";"adult";"cool";"normal";"dark cyanotic";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"no"
28,9385345866803;76;31,5938427105229;38,1103121876476;-19,214209603324;"yes";"adult";"cool";"reduced";"normal pink";"<3";"intermittent mild pain";"absent";"severe";"slight";"none";"absent";"distended large intestine";"euthanized";"yes"
37,0617694658235;81,0649706039326;34,3567278798595;46;5,9;"yes";"adult";"cool";"reduced";"pale pink";">=3";"continuous severe pain";"hypomotile";"moderate";"significant";">1l";"absent";"distended large intestine";"died";"yes"
38,5;96;30;50;65;"yes";"adult";"warm";"reduced";"pale cyanotic";">=3";"intermittent severe pain";"absent";"moderate";"slight";"none";"decreased";"distended large intestine";"lived";"yes"
38,5;104;40;51,725815748808;-24,1807236757109;"yes";"adult";"cool";"reduced";"normal pink";"<3";"intermittent severe pain";"hypomotile";"severe";"slight";"none";"absent";"distended large intestine";"lived";"yes"
39,4;54;66;39;6;"yes";"adult";"normal";"normal";"bright pink";"<3";"depressed";"hypomotile";"slight";"none";"none";"decreased";"distended small intestine";"lived";"yes"
37,8;48;12;48;7,3;"no";"adult";"warm";"normal";"bright pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"increased";"distended large intestine";"lived";"no"
45,3355453026011;78;24;43;62;"yes";"adult";"cool";"reduced";"pale pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended small intestine";"euthanized";"no"
37,6;38;20;37;68;"yes";"adult";"cool";"reduced";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"slight";"none";"decreased";"distended large intestine";"lived";"yes"
37,5;48;24;36,1634817620615;44,2187081248928;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
37,6;40;19,3030079390058;33,794807804693;55,5274607135796;"yes";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"slight";"none";"normal";"normal";"lived";"yes"
38,1;66;12;44;6;"yes";"adult";"cool";"reduced";"bright red";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"increased";"distended large intestine";"lived";"yes"
38,6;45;16;43;58;"no";"adult";"warm";"normal";"bright pink";"<3";"alert no pain";"hypermotile";"none";"slight";"none";"normal";"normal";"lived";"no"
51,7446829640143;80;32;50;80;"no";"adult";"cool";"reduced";"bright pink";"<3";"depressed";"hypomotile";"moderate";"slight";"none";"decreased";"distended large intestine";"lived";"yes"
39,2;120;20;60;8,8;"yes";"adult";"cold";"reduced";"bright red";">=3";"depressed";"hypomotile";"moderate";"none";"<1l";"absent";"distended small intestine";"died";"yes"
38,2;48;18;48;74;"yes";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"none";">1l";"absent";"distended large intestine";"lived";"yes"
36,8;60;28;39,0407037547097;26,8000294371531;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"yes"
38,1;44;40;35;6,8;"no";"adult";"warm";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"normal";"firm feces in large intestine";"lived";"no"
38;60;12;47;7;"no";"adult";"cool";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"none";"none";"none";"increased";"other";"lived";"no"
36,6;42;18;52;7,1;"no";"adult";"cool";"reduced";"bright pink";"<3";"alert no pain";"absent";"none";"none";"none";"absent";"distended large intestine";"died";"yes"
38,3;132;50,7596892206691;57;8;"yes";"adult";"cool";"reduced";"dark cyanotic";">=3";"depressed";"absent";"slight";"slight";"<1l";"absent";"distended small intestine";"lived";"yes"
36,1;88;36,1012806469725;45;7;"no";"adult";"cool";"reduced";"pale pink";"<3";"intermittent mild pain";"hypomotile";"slight";"slight";"<1l";"absent";"distended small intestine";"euthanized";"yes"
42,9408257025733;60;30;45;70;"yes";"adult";"cool";"reduced";"pale cyanotic";">=3";"continuous severe pain";"absent";"severe";"none";"none";"absent";"distended large intestine";"lived";"yes"
37,2;60;27,9159977288866;43;6,6;"yes";"adult";"warm";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"slight";"none";"absent";"distended large intestine";"lived";"yes"
37,3;48;12;40;6,6;"yes";"adult";"normal";"normal";"pale pink";"<3";"intermittent mild pain";"hypermotile";"moderate";"slight";"none";"decreased";"firm feces in large intestine";"lived";"yes"
37,3;90;40;65;50;"yes";"adult";"cool";"normal";"dark cyanotic";">=3";"continuous severe pain";"absent";"moderate";"slight";">1l";"normal";"distended large intestine";"euthanized";"yes"
38,4;92;20;46,2178794462864;-5,28299615641238;"yes";"adult";"normal";"normal";"normal pink";">=3";"intermittent mild pain";"hypomotile";"moderate";"slight";"none";"normal";"distended large intestine";"lived";"yes"
40,3;114;36;57;8,1;"no";"adult";"cool";"reduced";"normal pink";">=3";"depressed";"hypomotile";"moderate";"slight";"none";"normal";"distended large intestine";"died";"yes"
21,690851732452;44;24;26,4062494663415;6,3;"no";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"normal";"lived";"no"
39;64;36;44;7,5;"yes";"adult";"cool";"normal";"pale cyanotic";">=3";"intermittent mild pain";"hypomotile";"slight";"none";">1l";"absent";"distended large intestine";"lived";"yes"
37,2;84;48;73;5,5;"no";"adult";"cool";"reduced";"bright red";">=3";"intermittent severe pain";"hypermotile";"slight";"none";">1l";"increased";"normal";"died";"no"
36;42;30;64;6,8;"no";"adult";"cool";"normal";"bright red";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"no"
38,2;42;20;47;60;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"decreased";"distended large intestine";"lived";"no"
38,5;54;25,8898851256687;40;6,8;"no";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypermotile";"none";"slight";"none";"normal";"distended large intestine";"lived";"no"
39,3;100;51;66;13;"yes";"adult";"cold";"absent";"dark cyanotic";"<3";"depressed";"absent";"none";"none";"<1l";"absent";"distended small intestine";"euthanized";"yes"
38,3;40;24;33;6,7;"no";"adult";"normal";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"normal";"normal";"lived";"no"
38,7;48;24;34;63;"no";"adult";"cool";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"none";"none";"normal";"distended large intestine";"lived";"no"
37,6;88;36;44;6;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"none";"<1l";"absent";"distended large intestine";"died";"yes"
32,6659333711376;43,3619057986242;19,7320402292374;35;58;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent severe pain";"hypomotile";"none";"none";"none";"absent";"distended large intestine";"lived";"yes"
38,7;96;28;64;9;"yes";"adult";"cool";"reduced";"pale cyanotic";"<3";"intermittent mild pain";"absent";"none";"slight";"<1l";"absent";"distended large intestine";"died";"yes"
43,995079901945;60;40;42;72;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"absent";"none";"significant";">1l";"absent";"distended large intestine";"lived";"yes"
38,5;40;16;37;67;"no";"adult";"normal";"normal";"normal pink";"<3";"depressed";"hypermotile";"none";"slight";"none";"decreased";"other";"lived";"no"
38;92;28;37;6,1;"no";"young";"normal";"normal";"bright pink";"<3";"alert no pain";"hypomotile";"slight";"significant";"none";"absent";"distended large intestine";"lived";"no"
37,3;48;20;41;69;"yes";"adult";"cool";"normal";"bright pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"slight";"none";"decreased";"distended large intestine";"lived";"yes"
37,9;88;24;37;56;"no";"adult";"normal";"normal";"bright pink";"<3";"depressed";"normal";"none";"slight";"none";"absent";"normal";"lived";"no"
38,1;52;24;54;7,5;"yes";"adult";"normal";"normal";"bright red";"<3";"intermittent severe pain";"hypomotile";"none";"slight";"<1l";"normal";"distended large intestine";"died";"yes"
49,9666673531942;104;45,9156492476821;69;8,6;"yes";"adult";"cool";"reduced";"bright red";">=3";"depressed";"absent";"moderate";"slight";"<1l";"absent";"distended small intestine";"died";"yes"
26,8284673916103;52;28;37;8,1;"yes";"adult";"cool";"reduced";"pale cyanotic";"<3";"intermittent mild pain";"absent";"moderate";"slight";"none";"absent";"distended small intestine";"lived";"yes"
39,5;60;10;38;56;"no";"adult";"cool";"normal";"normal pink";">=3";"intermittent mild pain";"hypomotile";"slight";"slight";"none";"decreased";"distended large intestine";"lived";"no"
37;44;12;40;6,7;"yes";"adult";"cool";"normal";"normal pink";">=3";"alert no pain";"hypermotile";"none";"slight";"none";"absent";"other";"lived";"yes"
38,9;80;44;54;6,5;"yes";"adult";"cool";"reduced";"pale pink";"<3";"depressed";"hypomotile";"moderate";"slight";">1l";"decreased";"normal";"died";"yes"
38,6;160;20;38;-122,470128787008;"yes";"young";"cool";"normal";"bright red";"<3";"intermittent mild pain";"hypomotile";"severe";"significant";"none";"absent";"distended large intestine";"died";"yes"
38,5;120;60;54;-52,1296069544902;"yes";"adult";"cold";"reduced";"dark cyanotic";">=3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
37,3;50;32;44;7;"no";"adult";"normal";"normal";"pale pink";"<3";"alert no pain";"hypomotile";"slight";"slight";"none";"normal";"distended large intestine";"lived";"no"
37,0617694658235;81,0649706039326;34,3567278798595;46;5,9;"yes";"adult";"cool";"reduced";"pale pink";"meaning unknown";"continuous severe pain";"hypomotile";"moderate";"significant";">1l";"absent";"distended large intestine";"died";"yes"
39,2;146;96;69,315908224298;-86,0119457579672;"yes";"young";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"yes"
38,1;44;9;31;7,3;"yes";"adult";"cool";"normal";"normal pink";"<3";"depressed";"normal";"none";"none";"none";"absent";"distended large intestine";"lived";"no"
38,4;104;40;55;8,5;"yes";"adult";"normal";"normal";"pale pink";"<3";"depressed";"absent";"slight";"slight";"<1l";"absent";"distended small intestine";"lived";"yes"
38,9;120;30;47;6,3;"yes";"young";"normal";"reduced";"bright pink";">=3";"intermittent mild pain";"hypomotile";"moderate";"significant";"none";"absent";"distended large intestine";"lived";"no"
41,7012094078129;100;44;37;4,7;"no";"young";"warm";"normal";"normal pink";"<3";"intermittent severe pain";"hypermotile";"none";"slight";"none";"normal";"distended large intestine";"lived";"no"
36,6;48;16;27;56;"yes";"adult";"cool";"normal";"pale pink";"<3";"intermittent severe pain";"hypermotile";"none";"none";"none";"absent";"distended large intestine";"euthanized";"yes"
39,5;81,6244021866511;34,6208656543106;46,1588230378506;6,7;"no";"adult";"cool";"reduced";"pale cyanotic";">=3";"intermittent mild pain";"absent";"moderate";"slight";"<1l";"absent";"distended large intestine";"euthanized";"yes"
37,8;48;12;37;5,5;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"none";"none";"normal";"firm feces in large intestine";"lived";"no"
62,8200658441647;120;47,6086424684112;52;67;"yes";"adult";"cool";"absent";"pale cyanotic";"<3";"intermittent severe pain";"absent";"severe";"none";"none";"absent";"distended large intestine";"euthanized";"yes"
38;72;36;38;6,8;"no";"adult";"normal";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"slight";"slight";"none";"decreased";"distended large intestine";"lived";"no"
39;84;12;62;5,9;"no";"adult";"cool";"normal";"bright red";"<3";"depressed";"absent";"slight";"none";">1l";"absent";"distended small intestine";"died";"yes"
38,4;84;30;47;7,5;"yes";"adult";"cool";"normal";"bright red";">=3";"intermittent severe pain";"hypomotile";"moderate";"slight";"<1l";"absent";"distended small intestine";"died";"yes"
38;108;60;55,0521245122914;-35,1601143124517;"yes";"adult";"warm";"reduced";"pale cyanotic";"<3";"intermittent severe pain";"hypomotile";"moderate";"slight";"none";"decreased";"distended small intestine";"lived";"yes"
37,8;88;22;64;8;"yes";"adult";"warm";"normal";"bright pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"yes"
37,7;55;28;38,4229892172865;35,4120728909278;"yes";"adult";"warm";"normal";"bright pink";"<3";"depressed";"hypomotile";"moderate";"slight";"<1l";"absent";"distended large intestine";"lived";"yes"
38,3;44;21;44;6,5;"yes";"adult";"cool";"normal";"bright pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"slight";"none";"normal";"distended large intestine";"lived";"yes"
37,2;72;24;44;22,4626491096253;"no";"adult";"cool";"increased";"pale cyanotic";">=3";"intermittent severe pain";"hypomotile";"moderate";"significant";"none";"absent";"distended small intestine";"euthanized";"yes"
38,6;60;30;40;6;"no";"adult";"normal";"normal";"pale pink";"<3";"intermittent severe pain";"normal";"slight";"none";"none";"absent";"distended large intestine";"lived";"yes"
34,7172547585001;70;16;60;7,5;"yes";"adult";"cool";"absent";"bright red";">=3";"depressed";"hypomotile";"slight";"slight";"none";"absent";"distended large intestine";"died";"yes"
37,5;60;50;35;6,5;"yes";"adult";"cool";"reduced";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"slight";">1l";"decreased";"distended small intestine";"died";"yes"
39;150;72;47;8,5;"no";"young";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
37,8;60;42;41,5180617580785;26,3677635688746;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
39,3;64;90;39;6,7;"yes";"adult";"warm";"reduced";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"none";">1l";"normal";"distended large intestine";"lived";"yes"
38,5;120;70;35;54;"yes";"young";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypermotile";"none";"slight";"none";"normal";"distended large intestine";"lived";"yes"
37;60;20;43;7,6;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"slight";">1l";"absent";"distended small intestine";"euthanized";"yes"
37,8;60;80;40;4,5;"yes";"adult";"normal";"reduced";"bright pink";">=3";"depressed";"hypomotile";"moderate";"slight";">1l";"absent";"distended large intestine";"lived";"yes"
38,5;30;18;40;7,7;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"yes"
36,9;50;40;37,5;6,5;"no";"adult";"warm";"reduced";"pale pink";"<3";"alert no pain";"hypomotile";"slight";"significant";"none";"absent";"distended large intestine";"lived";"no"
38,8;124;36;50;7,6;"yes";"young";"cool";"normal";"bright pink";"<3";"depressed";"hypomotile";"severe";"none";"none";"absent";"distended small intestine";"died";"yes"
35,496445352534;60;48;58;7,6;"yes";"adult";"cool";"reduced";"pale cyanotic";">=3";"intermittent severe pain";"hypomotile";"severe";"slight";"none";"absent";"distended large intestine";"died";"yes"
37,5;96;18;69;8,9;"yes";"adult";"normal";"reduced";"dark cyanotic";">=3";"intermittent mild pain";"absent";"slight";"slight";"<1l";"absent";"distended small intestine";"lived";"yes"
52,2882919749786;128;36;53;7,8;"yes";"young";"cool";"reduced";"pale cyanotic";">=3";"intermittent severe pain";"absent";"moderate";"significant";"none";"absent";"distended large intestine";"died";"no"
37,5;44;20;35;7,2;"no";"adult";"normal";"normal";"pale pink";"<3";"intermittent mild pain";"hypermotile";"none";"slight";"none";"normal";"distended large intestine";"lived";"no"
37,5;48;30;48;8,6;"no";"adult";"cold";"normal";"pale pink";"<3";"intermittent mild pain";"normal";"none";"none";"none";"normal";"normal";"lived";"no"
39,4;120;48;56;64;"yes";"adult";"cool";"normal";"bright red";"<3";"intermittent mild pain";"hypomotile";"moderate";"none";"none";"absent";"distended large intestine";"euthanized";"no"
38,4;80;30;32;6,1;"yes";"adult";"cold";"reduced";"normal pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"significant";"<1l";"absent";"distended large intestine";"lived";"yes"
38,3;40;18;43;5,9;"yes";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypermotile";"none";"slight";"none";"increased";"normal";"lived";"no"
38;60;32;50;7;"no";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"none";"none";"absent";"distended large intestine";"lived";"no"
38,5;54;20;42;6,3;"no";"adult";"cool";"normal";"bright pink";">=3";"intermittent mild pain";"absent";"none";"slight";">1l";"absent";"other";"lived";"no"
38,3;45;20;35,4042483682245;51,0772792560285;"no";"adult";"cool";"reduced";"bright pink";">=3";"depressed";"absent";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
38;140;68;39;5,3;"yes";"young";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"slight";"none";"increased";"normal";"lived";"yes"
38;42;12;37;5,8;"no";"adult";"cool";"normal";"pale pink";"<3";"alert no pain";"hypermotile";"none";"slight";"none";"absent";"normal";"lived";"no"
38,5;90;34,9821385057558;47;79;"yes";"adult";"normal";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"moderate";"slight";"<1l";"absent";"distended large intestine";"lived";"yes"
38,2;48;23,2322223271699;34;6,6;"no";"adult";"warm";"normal";"normal pink";">=3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"other";"lived";"no"
38,8;48;40;41;65;"no";"adult";"normal";"normal";"pale pink";"<3";"intermittent mild pain";"hypomotile";"severe";"slight";"none";"absent";"distended large intestine";"lived";"yes"
37,8;48;28;46;5,9;"yes";"adult";"normal";"normal";"normal pink";">=3";"alert no pain";"normal";"none";"slight";"none";"normal";"normal";"lived";"no"
37,8;60;24;52;75;"yes";"adult";"normal";"normal";"pale pink";">=3";"intermittent mild pain";"absent";"severe";"slight";"<1l";"absent";"distended large intestine";"euthanized";"yes"
38,6;88;28;35;5,9;"no";"young";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
38,5;86;35,8002247740356;45;7,4;"yes";"adult";"normal";"normal";"pale pink";"<3";"intermittent severe pain";"absent";"moderate";"slight";"none";"decreased";"distended large intestine";"died";"yes"
38,3;42;24;40;8,5;"yes";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"yes"
38,6;42;34;48;7,2;"yes";"adult";"warm";"normal";"pale cyanotic";"<3";"depressed";"hypomotile";"none";"slight";"none";"normal";"distended large intestine";"lived";"yes"
43,1151538863099;88;39,6743835334727;63;6,5;"yes";"adult";"cool";"reduced";"dark cyanotic";">=3";"continuous severe pain";"hypomotile";"moderate";"none";"<1l";"absent";"distended large intestine";"died";"yes"
38,6;52;24,1233536141643;32;6,6;"no";"adult";"normal";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"none";"none";"normal";"firm feces in large intestine";"lived";"no"
37,7;48;22,6408461882837;45;76;"no";"adult";"warm";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"none";"none";"absent";"distended large intestine";"lived";"no"
37,5;48;30;48;8,6;"no";"adult";"cold";"normal";"pale pink";"<3";"intermittent mild pain";"normal";"none";"none";"none";"normal";"normal";"lived";"no"
38,8;150;50;50;6,2;"yes";"young";"normal";"reduced";"dark cyanotic";">=3";"continuous severe pain";"hypomotile";"slight";"none";"none";"absent";"distended large intestine";"died";"yes"
37,1;40;8;23;6,7;"yes";"adult";"cool";"normal";"pale cyanotic";"<3";"intermittent mild pain";"hypomotile";"none";"none";"none";"decreased";"firm feces in large intestine";"lived";"yes"
37,5;48;16;37;6,5;"no";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"none";"none";"normal";"distended large intestine";"lived";"no"
38,8;50;20;42;6,2;"no";"adult";"cool";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"slight";"none";"decreased";"normal";"lived";"no"
38,6;46;24,8987831580267;49;9,1;"no";"adult";"normal";"normal";"bright pink";"<3";"alert no pain";"hypomotile";"slight";"none";"none";"absent";"other";"lived";"no"
