"Latitude";"Altitude";"Rainfall";"Frosts";"Year";"PMCno";"DBH";"Ht";"Surv";"Vig";"Ins_res";"Stem_Fm";"Crown_Fm";"Brnch_Fm";"Sp";"Utility"
-40,95;180;1080;-3;1982;2550;11,27;7,14;75;2,5;3;3;4;3;"re";"0"
-41,1333333333333;220;1050;-2;1983;2571;16,15;6,19;100;3;2,3;3;4;4;"ov";"1"
-40,95;180;1080;-3;1983;2550;9,15;8,42;25;3;3,5;3,5;4;4;"re";"0"
-40,95;180;1080;-3;1981;2553;14,69;9,68;21;3;3;3,3;3,5;3,3;"re";"0"
-40;150;1300;-2;1983;2562;33,19;14,42;30;3,6;3,7;3,2;3,7;3,2;"co";"1"
-41,2;160;1000;-3;1981;1595;8;4,9;88;3,5;1,5;4;4;4;"jo";"0"
-41,2666666666667;300;1200;-3;1982;2574;13,43;9,03;100;4;2;4;3;2,5;"re";"1"
-40,95;180;1080;-3;1983;1522;1,41;2,82;13;1;3;3;3;3;"ob";"0"
-40,6;150;1250;-3;1983;1592;18,4;14,18;50;3,5;3,2;2;2,5;1,5;"am";"1"
-39,7166666666667;150;900;-2;1986;3270;35,78;16,29;48,1287080171972;2,97456196449688;2,73947177706143;2,84855788704591;3,05502177968894;2,70184986742849;"nd";"0"
-41,2666666666667;300;1200;-3;1982;2620;7,3;5,91;100;2;2;3;4;4;"br";"0"
-39,8333333333333;70;1000;-2;1981;1113;9,6;7;100;2,6;2;3;3;3;"br";"0"
-41,1333333333333;220;1050;-2;1983;2568;20,29;9,27;88;2;2,5;3;3;2;"ni";"0"
-40,6;150;1250;-3;1983;2573;21,7;17,42;88;3;3,5;3;3,3;2,3;"pu";"1"
-39,8333333333333;70;1000;-2;1981;1171;10,4;6,4;75;1,7;1,5;0;0;0;"ka";"0"
-41,1333333333333;220;1050;-2;1983;2547;20,31;9,27;100;4;2,5;2,8;2,5;2,5;"ni";"1"
-41,1333333333333;220;1050;-2;1983;2547;18,16;8,29;75;4;2,3;3,3;3,3;3;"ni";"1"
-40;150;1300;-2;1983;2550;27,97;14,65;10;3;3,5;3,5;3;3;"re";"1"
-40,95;180;1080;-3;1983;2570;21,43;14,1;38;4;3,5;3;3,5;3;"ob";"1"
-40,6;150;1250;-3;1983;1592;24,95;19,69;50;3,5;3;2,7;3;2,7;"am";"1"
-40,95;180;1080;-3;1983;2570;3,81;4,93;13;2;2,5;3;4;3;"ob";"0"
-40,95;180;1080;-3;1981;1340;5,37;5,74;100;1,5;1;1,5;1,5;2;"sm";"0"
-40,95;180;1080;-3;1981;1339;12,49;10,12;63;4,5;3;3,5;3,5;3,5;"fr";"1"
-40;150;1300;-2;1983;2570;35,4;14,05;10;3;3;3,3;3,5;3;"ob";"1"
-40,95;180;1080;-3;1981;1596;17,27;9,01;48;3,5;3;3,3;4;3;"nd";"1"
-40;150;1300;-2;1983;1522;52,26;15,45;10;5;4,5;2,5;2;2,5;"ob";"1"
-41,2666666666667;300;1200;-3;1982;2560;6,35;4,62;100;3;4;2;3;4;"am";"0"
-40,6;150;1250;-3;1983;2553;20,34;18,45;75;3,5;3;3,3;3,3;3;"re";"1"
-40,95;180;1080;-3;1981;1339;3,28;4,07;75;2;3;3;3;3;"fr";"0"
-40,95;180;1080;-3;1983;1482;6,94;5,17;38;2,5;3;3;4;3,5;"fa";"0"
-39,8333333333333;70;1000;-2;1981;1482;23;11;13;3;3,5;2;1;1;"fa";"0"
-40,95;180;1080;-3;1983;1252;5,86;5,61;50;3;4;2,5;2,5;3;"cr";"0"
-40,95;180;1080;-3;1981;1598;10,75;9,26;88;4;4;4;4;4;"pu";"1"
-40;150;1300;-2;1983;2571;41,87;15,25;30;4,2;2,8;2,6;3,3;2,2;"ov";"1"
-39;200;1400;-2;1980;1487;27,98;8,64;67,5859530766558;2,3;4;2;2;2;"fr";"0"
-41,2;160;1000;-3;1981;1596;10,4;9,4;100;4;3;2;3,5;3;"nd";"1"
-41,2;160;1000;-3;1981;1978;15,7;10;100;4;3;2,5;2,5;2,5;"fa";"1"
-39,7166666666667;150;900;-2;1986;3268;17,69;8,08;48,1383321438189;2,97434847179857;2,73932648858024;2,84839730115847;3,05483158406064;2,70170557426434;"am";"0"
-39,8333333333333;70;1000;-2;1981;1482;20;13,2;75;4,5;3;4;4;4;"fa";"1"
-40,95;180;1080;-3;1981;1524;2,57;3,08;75;2;2;2;4;3;"rd";"0"
-41,2666666666667;300;1200;-3;1982;2638;12,24;5,83;25;2;3;3;3;3;"el";"0"
-39,8333333333333;70;1000;-2;1981;1786;17;15,3;75;4,7;4;3,5;4;4;"fr";"1"
-40,6;150;1250;-3;1983;1522;19,13;10,66;38;3,5;3;2,5;2,5;2;"ob";"1"
-40,6;150;1250;-3;1983;2570;22,98;19,9;50;4;2,7;3,5;3,3;3,5;"ob";"1"
-41,2;160;1000;-3;1981;1171;8,6;8,9;100;3;2,5;2,8;3;2,8;"ka";"0"
-40,95;180;1080;-3;1982;2548;5,5;4,89;25;1,5;3;3;3;3;"fa";"0"
-40,95;180;1080;-3;1983;2562;17,41;12,44;50;3,5;3,3;3;3,5;3;"co";"1"
-41,2;160;1000;-3;1981;2430;14;13;63;5;3;3;2;2,5;"re";"1"
-40;150;1300;-2;1983;2573;8,72;10,17;10;1,5;4;4;4;4;"pu";"0"
-39,6333333333333;100;850;-2;1980;1524;8,23;6,5;70;2;2;3,3;4;3,5;"rd";"0"
-40,6;150;1250;-3;1983;2570;17,59;12,2;50;3;2,7;3;3,5;2,7;"ob";"0"
-39,8333333333333;70;1000;-2;1981;2431;26;14;88;5;3,5;3,5;4;3,3;"re";"1"
-40,95;180;1080;-3;1983;2553;4,79;4,36;38;2;3,5;3,5;4;3,5;"re";"0"
-41,2;160;1000;-3;1981;1094;10,5;6;25;3;3;2;3;2,5;"ag";"0"
-39,8333333333333;70;1000;-2;1981;2428;22,6;13,4;100;5;3;2,3;2,7;2;"re";"1"
-41,2;160;1000;-3;1981;2447;11,2;9,1;88;4;3,5;3;3,5;3;"fr";"1"
-41,2;160;1000;-3;1981;1595;3,1;2,9;2;1,5;3;3;3,5;1;"jo";"0"
-41,2666666666667;300;1200;-3;1982;2631;5,75;4,26;75;2;3;2;2;2;"ka";"0"
-41,2;160;1000;-3;1981;1786;11,9;9,6;88;4;3;2,5;2,5;2,5;"fr";"1"
-41,1333333333333;220;1050;-2;1983;2548;6,34;3,65;100;3;3;2;2,5;2,5;"fa";"0"
-41,2666666666667;300;1200;-3;1982;2634;16,3;7,84;100;3;3;3;3;3;"nd";"0"
-41,2;160;1000;-3;1981;2447;6,9;7,3;88;3,5;3;3;3,5;3;"fr";"1"
-39,7166666666667;150;900;-2;1986;3271;12,2;5,56;48,118169626463;2,97440108239868;2,73929246509031;2,84837720621747;3,05483890658665;2,70167362472455;"nd";"0"
-41,2;160;1000;-3;1981;1785;4,3;3,2;100;1,5;1;2,5;3,5;3;"ov";"0"
-39,6333333333333;100;850;-2;1980;1521;10,22;8,32;100;3;1,8;3;3;3;"ov";"0"
-41,1333333333333;220;1050;-2;1983;2568;21,09;9,63;63;4;3;4;3,3;3;"ni";"1"
-40,95;180;1080;-3;1982;2620;2,29;3,2;50;1;1;3;3;3;"br";"0"
-41,2666666666667;300;1200;-3;1982;1111;11,9;7,2;100;3;2;3;3;3;"bxs";"0"
-39,7166666666667;150;900;-2;1986;2770;20,85;9,52;51,3255242376021;2,95814814107507;2,73794460835538;2,84445169769899;3,04586047273421;2,70007893976137;"am";"0"
-40;150;1300;-2;1983;2575;19,91;6,77;40;1,6;1,8;2,3;2,5;2,3;"rd";"0"
-41,2666666666667;300;1200;-3;1982;1259;11,66;6,18;75;3;2;3;3;3;"ov";"0"
-40,95;180;1080;-3;1983;1596;7,83;6,79;100;3;3;3,5;4,5;3,5;"nd";"1"
-40,6;150;1250;-3;1983;2750;29,47;14,67;88;4;4;3;3;1,7;"pa";"1"
-41,2666666666667;300;1200;-3;1982;2638;1,27;1,74;50;1;3;2;3;3;"el";"0"
-41,2;160;1000;-3;1981;2430;9,7;7,1;100;4;3;2;2,5;2,5;"re";"1"
-40,6;150;1250;-3;1983;2634;26,28;20,11;25;3,1;3;3;3;2;"nd";"1"
-39,7166666666667;150;900;-2;1986;2562;33,6;14,17;52,6586150561487;2,95147051332536;2,73745099321186;2,84289028481586;3,04220569676926;2,69948191544079;"co";"0"
-40,95;180;1080;-3;1981;1598;6,78;5,62;63;3;4;2,5;3;2;"pu";"0"
-40,95;180;1080;-3;1983;2568;11,66;8,57;75;3;2,5;2,5;2,5;2,5;"ni";"0"
-41,2;160;1000;-3;1981;1524;11,8;7,4;88;2,5;2;2,5;3;3;"rd";"0"
-41,2666666666667;300;1200;-3;1982;2560;16,04;8,66;100;3;4;4;4;4;"am";"1"
-39;200;1400;-2;1980;1521;31,38;13,32;67,3695262296561;4,3;2,7;4;3,5;3,3;"ov";"1"
-41,2;160;1000;-3;1981;1171;6,6;5,8;2;3;2,5;2,5;3;0,5;"ka";"0"
-41,2;160;1000;-3;1981;1785;5,5;3,4;2;1;3;2,5;3;1;"ov";"0"
-41,2666666666667;300;1200;-3;1982;2634;17,77;10,42;50;3;3;2;2;2;"nd";"0"
-40,95;180;1080;-3;1981;2622;16,25;9,77;85;4;2;2,5;4;2,5;"ov";"1"
-39,6333333333333;100;850;-2;1980;1523;17,18;9,99;90;4,3;4,5;3,5;4;3,3;"pu";"1"
-40,95;180;1080;-3;1981;2575;9,48;6,16;50;2;1,8;2,5;3;2,5;"rd";"0"
-39,7166666666667;150;900;-2;1986;1825;17,5;7,99;57,371867530453;2,92732982489416;2,73525013375748;2,83688974144656;3,02875728845234;2,69692104439201;"ra";"0"
-40,95;180;1080;-3;1981;1338;6,07;5,89;63;3;3;2;2;2,5;"el";"0"
-41,1333333333333;220;1050;-2;1983;2562;19,64;11,02;100;4;3;3;3;3;"co";"1"
-41,2666666666667;300;1200;-3;1982;2553;17,72;11,93;75;4;3;5;4;4;"re";"1"
-40,95;180;1080;-3;1981;2621;5,98;4,03;43;2,5;2;3,3;4;3,5;"br";"0"
-40,95;180;1080;-3;1981;1338;7,28;7,45;63;4;3;3,3;3,3;3;"el";"1"
-40,95;180;1080;-3;1981;1339;3,81;4,73;100;3;2,7;3;3;3,5;"fr";"1"
-39,8333333333333;70;1000;-2;1981;1598;15,9;12,8;100;4;4;3,3;4;3;"pu";"1"
-40,95;180;1080;-3;1981;1112;7,83;6,68;100;3;1,8;3,5;4;4;"br";"1"
-40,95;180;1080;-3;1982;1259;9,65;8,01;100;3;2;3;3,5;3;"ov";"0"
-40;150;1300;-2;1983;2568;52,76;21;50;4,5;2,7;3,9;3,4;2,6;"ni";"1"
-39,7166666666667;150;900;-2;1986;3274;26,87;10,08;48,1013380524681;2,97460983408736;2,73940540011028;2,84850933653027;3,05500838216288;2,70178655395713;"te";"0"
-41,2;160;1000;-3;1981;1780;8,8;5,3;63;3;3;3;4;4;"nc";"0"
-39,6333333333333;100;850;-2;1980;1524;12,39;5,55;80;3;2,5;2;2;2;"rd";"0"
-40,6;150;1250;-3;1983;2547;25,4;18,75;13;3,7;2,7;2;2,5;2,3;"ni";"0"
-40,95;180;1080;-3;1981;1111;6,92;4,54;48;3;3;2,5;2;2;"bxs";"0"
-40,95;180;1080;-3;1983;2553;9,73;11,04;75;3;3;3,5;4;3,5;"re";"1"
-40,6;150;1250;-3;1983;1522;21,7;17,33;25;3,3;3;3;3;3;"ob";"1"
-40,95;180;1080;-3;1981;2574;11,62;7,4;33;3;3;3,5;3,5;3,3;"re";"0"
-41,1333333333333;220;1050;-2;1983;1522;15,73;7,8;88;3,5;2,8;3;3,5;3,5;"ob";"1"
-40,6;150;1250;-3;1983;2562;14,87;15,56;38;3,5;3,5;3,3;3,3;3;"co";"1"
-40,6;150;1250;-3;1983;2571;19,67;20,14;50;3;2;3,3;3,7;4;"ov";"1"
-39,7166666666667;150;900;-2;1986;2768;26,37;9,89;51,3390820442762;2,95811896554317;2,73797280395251;2,84447081208445;3,04586169479639;2,70010567542751;"te";"0"
-39,8333333333333;70;1000;-2;1981;1111;14,2;10,8;100;3;2,8;3,3;3,3;3;"bxs";"1"
-39,8333333333333;70;1000;-2;1981;2447;21,4;12,7;75;4,6;4;3;3;3;"fr";"1"
-41,1333333333333;220;1050;-2;1983;2571;14,53;5,57;100;3;2;3;4;3,5;"ov";"0"
-40,95;180;1080;-3;1982;1111;12,26;6,81;71;4,2;3;3;2;2;"bxs";"0"
-40,95;180;1080;-3;1981;2431;6,14;5,86;75;4;3;4;4;4;"re";"1"
-41,2;160;1000;-3;1981;1340;6,2;5,3;100;2;2;2,5;2,5;3;"sm";"0"
-40;150;1300;-2;1983;1592;34,11;16,48;20;3,5;3,8;3,2;3,9;2,5;"am";"1"
-39,6333333333333;100;850;-2;1980;1522;17,01;12,28;70;5;4;5;4;4,5;"ob";"1"
-39,7166666666667;150;900;-2;1986;3266;21,86;10;48,1518641270402;2,97431761683511;2,73935314277548;2,84841481178143;3,05483108426452;2,70173078959387;"am";"0"
-40,95;180;1080;-3;1983;2458;8,46;7,05;13;2;3;3;3;3;"ob";"0"
-40,6;150;1250;-3;1983;1252;17,36;15,64;50;3,5;3,5;2,5;2,5;2,5;"cr";"0"
-41,2;160;1000;-3;1981;1598;13,6;7,3;38;3;3;2;2,5;2;"pu";"0"
-41,2666666666667;300;1200;-3;1982;2553;17,95;13,66;100;5;3;4,5;4,5;4;"re";"1"
-41,2;160;1000;-3;1981;1595;1,5;1,8;88;1,5;1;3;4;3;"jo";"0"
-40,6;150;1250;-3;1983;2550;23,1;18,59;63;4;3,5;3,3;3,3;3;"re";"1"
-40,95;180;1080;-3;1982;2574;15,26;14,08;25;3;4;4;4;3;"re";"1"
-40,95;180;1080;-3;1981;1337;8,63;8,21;100;4;3;3,5;3,5;3,5;"ob";"1"
-39,7166666666667;150;900;-2;1986;2460;24,16;11,03;53,3097553163543;2,94807462703128;2,73709478515667;2,84200635413972;3,04028750143461;2,69907661248431;"am";"0"
-39,8333333333333;70;1000;-2;1981;1337;22,2;14,6;63;5;3;4;4;3,2;"ob";"1"
-40,95;180;1080;-3;1981;1787;5,3;4,88;38;3,5;3;4;4;4;"re";"1"
-39,7166666666667;150;900;-2;1986;2573;20,72;8,87;52,5860211130836;2,95172568501043;2,73738487207897;2,84287733132871;3,04229722513246;2,69942256852275;"pu";"0"
-41,2666666666667;300;1200;-3;1982;1259;13,99;9,09;100;4;2;2;2;2;"ov";"0"
-40,95;180;1080;-3;1981;2571;12,72;10,6;37;3;2;3,5;4,5;4,3;"ov";"1"
-41,2666666666667;300;1200;-3;1982;1111;10,99;7,2;100;2;3;3;3;3;"bxs";"0"
-40,95;180;1080;-3;1981;2428;5,16;5,86;75;4;3;4;4;4;"re";"1"
-40,95;180;1080;-3;1983;2553;8,13;7,99;88;3;3;3,5;4;4;"re";"0"
-40,95;180;1080;-3;1982;1340;2,1;3,38;50;1;1;3;3;3;"sm";"0"
-41,2666666666667;300;1200;-3;1982;2638;5,25;3,5;50;2;3;3;3;4;"el";"0"
-39;200;1400;-2;1980;1524;22,72;11,52;67,3489158408938;3;2,5;3,5;3,5;2,8;"rd";"1"
-41,2666666666667;300;1200;-3;1982;2552;16,83;10,31;75;4;3;4;4;3;"fr";"1"
-40;150;1300;-2;1983;1788;17,33;8,32;40;1,9;2,1;2,5;3;2,8;"ov";"0"
-39,7166666666667;150;900;-2;1986;3269;25,71;11,74;48,1333422297237;2,97444690142277;2,73939130350721;2,84846948450587;3,05491804396996;2,70177000236444;"am";"0"
-41,2;160;1000;-3;1981;2431;9;9,6;75;4;3;4;3;2,5;"re";"1"
-40;150;1300;-2;1983;2547;42,95;13,91;50;4,2;2,8;2;2,5;1,7;"ni";"1"
-40,95;180;1080;-3;1981;1482;10,54;7,84;88;4;3,3;3,3;3,5;3,5;"fa";"1"
-40,95;180;1080;-3;1983;1788;16,16;10,98;13;3,5;2,5;3;4;3;"ov";"1"
-39,8333333333333;70;1000;-2;1981;1595;7,8;5,3;50;1;1,5;4;4;4;"jo";"0"
-39;200;1400;-2;1980;1487;3,072;9,93;67,582802083842;3;4;2;2;1;"fr";"1"
-39,7166666666667;150;900;-2;1986;2770;11,25;5,14;51,3238378093042;2,95806932655783;2,73787040892021;2,84437484270107;3,04577861228616;2,70000579076735;"am";"0"
-46,0049450317906;150;1750;-2;1986;-27,7715955328188;38,51;16,46;82,9402533033854;3,43410686915628;3,27014444954833;3,38045132387313;3,58785086229935;3,2231415150036;"pu";"0"
-40,1833333333333;130;1000;-3;1980;2088;17,6;9;90;4,5;2,5;3;2;1,5;"ni";"1"
-40,1833333333333;130;1000;-3;1980;1487;17,8;10;10;4;4;3,5;4;2;"fr";"1"
-40,6;150;1250;-3;1983;2552;31,73;18,88;63;3,8;3,2;3;3;2;"fr";"1"
-39,7166666666667;150;900;-2;1986;2768;32,09;12,03;51,3400410409618;2,95816388634415;2,73801508575246;2,84451460869042;3,04590834676864;2,7001473588082;"te";"0"
-41,2666666666667;300;1200;-3;1982;2620;7,87;6,25;100;3,5;1,5;2;2;2;"br";"0"
-40,95;180;1080;-3;1981;1112;9,89;6,68;100;3,5;2;3;4;3;"br";"1"
-39,8333333333333;70;1000;-2;1981;2482;17;14,1;88;4,5;3;3,7;3,7;3,7;"re";"1"
-39,8333333333333;70;1000;-2;1981;2431;26,1;16;38;5;3;4;4;2,7;"re";"1"
-40,95;180;1080;-3;1983;2568;9,13;7,02;13;2,8;2,5;3;3;2,5;"ni";"0"
-41,2666666666667;300;1200;-3;1982;2570;6,05;5,44;100;3;2,5;3,5;3,5;3;"ob";"0"
-41,2666666666667;300;1200;-3;1982;1482;24,16;10,31;75;4,5;3;4;3;2;"fa";"1"
-41,2666666666667;300;1200;-3;1982;1592;10,4;5,77;75;3;3;2;3;2;"am";"0"
-39,7166666666667;150;900;-2;1986;1825;19,81;9,05;57,3722739187803;2,92734881595896;2,73526801288795;2,83690826044252;3,0287770135244;2,69693867040557;"ra";"0"
-40,95;180;1080;-3;1982;1171;6,97;8,95;75;2;2;3;3;3;"ka";"0"
-41,1333333333333;220;1050;-2;1983;1592;23,59;9,87;75;3;4;3;4;3;"am";"1"
-40;150;1300;-2;1983;2635;32,5;14,57;10;2,7;3;3;4;3;"nd";"1"
-40;150;1300;-2;1983;2570;49,88;14,05;10;4;4,5;3;4;3;"ob";"1"
-41,2666666666667;300;1200;-3;1982;2620;2,66;2,08;100;2;1,5;1;2;3;"br";"0"
-39,7166666666667;150;900;-2;1986;3270;27,7;12,62;48,1272902166182;2,97449570058298;2,73940939361577;2,84849327087138;3,05495295505644;2,70178836713929;"nd";"0"
-40,1833333333333;130;1000;-3;1980;1521;16,2;10,2;60;4;2,3;3;3,3;3;"ov";"1"
-41,2666666666667;300;1200;-3;1982;2634;7,97;5,88;75;2,5;3;3;3;3,5;"nd";"0"
-40,95;180;1080;-3;1982;1111;9,65;6,24;25;2,8;3;3;3;2,5;"bxs";"0"
-41,2;160;1000;-3;1981;2428;12,3;8,2;75;4;3;3;2;2;"re";"1"
-40,6;150;1250;-3;1983;2552;31,87;20,52;25;3,7;3,5;2,5;2,5;1,5;"fr";"0"
-40,95;180;1080;-3;1981;2548;13,04;9,36;55;4;4;3;2,5;2;"fa";"1"
-41,2;160;1000;-3;1981;1340;5,7;5,7;100;3;2;3;3;3;"sm";"0"
-39,7166666666667;150;900;-2;1986;1596;25,84;11,76;58,8386703666411;2,91993666666355;2,73466777958251;2,83513038656168;3,02469058881787;2,69622539100195;"nd";"0"
-40,95;180;1080;-3;1981;2432;14,46;11,73;60;4,5;4;3,5;3,5;2,5;"re";"1"
-40;150;1300;-2;1983;1522;33,16;14,75;40;3,7;3,5;3,6;3,6;2,9;"ob";"1"
-41,1333333333333;220;1050;-2;1983;2575;15,93;9,1;88;3;3;2;2,5;2,5;"rd";"0"
-39,7166666666667;150;900;-2;1986;1257;21,27;9,72;61,0070888073846;2,90885375244497;2,73367534400291;2,83239091333785;3,01852664547651;2,6950670783052;"ra";"0"
-40,95;180;1080;-3;1981;1595;2,29;2,67;75;2,5;1,5;3;4;4;"jo";"0"
-40,95;180;1080;-3;1981;1595;5,34;3,05;75;2,7;1;3;4;4;"jo";"0"
-39,8333333333333;70;1000;-2;1981;1171;15;11,3;88;2,3;1,7;3;3;2;"ka";"0"
-41,1333333333333;220;1050;-2;1983;2553;11,28;6,41;50;4;3,5;3,5;3,5;3;"re";"1"
-41,2666666666667;300;1200;-3;1982;2635;13,73;8,58;75;3;3;3;3;3;"nd";"0"
-41,1333333333333;220;1050;-2;1983;2560;20,72;8,67;100;3,5;3,5;2,5;4;4;"am";"1"
-40,6;150;1250;-3;1983;1788;7,4;13,38;25;1;2;3,2;3;3;"ov";"0"
-40,95;180;1080;-3;1983;2562;9,94;7,46;50;3;4;3;4;3;"co";"0"
-39,8333333333333;70;1000;-2;1981;2435;20,3;13,6;63;4;2,7;3;2,5;2;"si";"1"
-41,1333333333333;220;1050;-2;1983;2750;12,8;7,25;50;2,3;4,5;2,5;3;3;"pa";"0"
-41,1333333333333;220;1050;-2;1983;2750;13,26;8,94;100;4;4;3;3,5;3,5;"pa";"1"
-39,7166666666667;150;900;-2;1986;1609;26,19;9,82;58,7553416774015;2,92035400111857;2,73469857445023;2,83522792399792;3,02491897182107;2,69626265049583;"te";"0"
-40,95;180;1080;-3;1981;2431;6,28;6,7;100;4;3;4;4;3,5;"re";"1"
-40,6;150;1250;-3;1983;1252;15,35;11,87;75;2,9;2,7;2,5;3;2,5;"cr";"0"
-41,2;160;1000;-3;1981;1112;13;11,1;100;3;2;3,5;3;3;"br";"0"
-41,2;160;1000;-3;1981;1111;15;8,4;88;3;3;3;3;2;"bxs";"0"
-39,8333333333333;70;1000;-2;1981;1786;13,3;10,8;75;4;3,8;4;4;4;"fr";"1"
-40,6;150;1250;-3;1983;1596;21,45;16,76;75;3;3,2;3,3;3,5;3;"nd";"1"
-39,8333333333333;70;1000;-2;1981;2459;19;16;88;4,3;3;4,8;4;4;"ob";"1"
-46,0041142433237;150;1750;-2;1986;-27,8186909597246;30,93;13,05;82,939078336614;3,43404404673305;3,27008597013836;3,38039063107865;3,58778598826048;3,22308385082555;"co";"0"
-39,8333333333333;70;1000;-2;1981;1524;10,3;7,8;100;2,3;2;3;3;3;"rd";"0"
-40,95;180;1080;-3;1981;1171;2,79;2,9;75;2;2;2;2;3;"ka";"0"
-39,6333333333333;100;850;-2;1980;1525;14,75;9,13;50;4;4;3,3;3;3;"si";"1"
-40,95;180;1080;-3;1981;2431;10,25;10,02;36;3;3;4;4,5;3,5;"re";"0"
-40,95;180;1080;-3;1982;2573;15,02;8,04;75;3;4;3;3,2;2,5;"pu";"0"
-41,2666666666667;300;1200;-3;1982;2426;21,93;9,84;100;4;3;3,5;3;2;"fa";"1"
-40,1833333333333;130;1000;-3;1980;1487;37,6;13;10;5;4;2;2;1;"fr";"1"
-41,2666666666667;300;1200;-3;1982;2550;14,59;8,68;100;3;2;4;3;3;"re";"0"
-41,1333333333333;220;1050;-2;1983;1522;7,6;3,76;63;2;3;3;3;3;"ob";"0"
-40,6;150;1250;-3;1983;2562;18,81;19,09;75;3;3;3,5;4;3;"co";"1"
-40,6;150;1250;-3;1983;2568;47,73;18,55;13;3,5;2,7;2;2;2;"ni";"1"
-40,95;180;1080;-3;1983;1592;15,73;10,67;75;3;4;3;4;3;"am";"1"
-40,95;180;1080;-3;1982;1596;12,21;8,72;75;3,3;3,5;3;4;3,5;"nd";"1"
-40,95;180;1080;-3;1981;2574;12,41;9,68;67;4;4;3,5;4;3;"re";"1"
-41,2666666666667;300;1200;-3;1982;1785;2,56;2,91;75;1;1;2;2;3;"ov";"0"
-39,8333333333333;70;1000;-2;1981;1978;14,6;11,1;100;4;3;3,5;3,5;3,3;"fa";"1"
-40,95;180;1080;-3;1982;2634;6,6;8,1;50;2,8;4;3;4;3,5;"nd";"0"
-41,2;160;1000;-3;1981;1339;13,7;9,9;88;4;3;2,5;2,5;2,5;"fr";"0"
-39,7166666666667;150;900;-2;1986;2573;27,66;11,83;52,5872201241982;2,95178176531932;2,73743766475403;2,84293201411419;3,04235547062545;2,69947461388415;"pu";"0"
-39,7166666666667;150;900;-2;1986;3273;24,72;10,58;48,1075037276485;2,97456602984805;2,73939203906348;2,84849044365099;3,05497867411427;2,70177285078734;"pu";"0"
-40,6;150;1250;-3;1983;2574;15,11;15,54;75;3,7;3;3,3;3,5;3,5;"re";"1"
-39;200;1400;-2;1980;1521;33,3;13,32;67,3695646968644;4;2,3;3,3;2;1;"ov";"1"
-39,8333333333333;70;1000;-2;1981;1113;8,8;11,4;100;2;2;4;4;4;"br";"0"
-41,1333333333333;220;1050;-2;1983;2570;19,01;9,41;75;3,5;3;3,5;3,5;3,5;"ob";"1"
-39,7166666666667;150;900;-2;1986;3271;23,46;10,68;48,120145971042;2,97449344982242;2,7393794235063;2,84846727689182;3,05493484353768;2,70175935207661;"nd";"0"
-40,95;180;1080;-3;1981;2469;7,68;8;88;4,5;3;4;4;4;"ob";"1"
-39,6333333333333;100;850;-2;1980;1596;14,8;9,48;70;3,7;3;3,3;4;3,5;"nd";"1"
-41,1333333333333;220;1050;-2;1983;2552;14,25;7,23;63;4;3;3;2,8;2;"fr";"0"
-39;200;1400;-2;1980;1521;9,99;7,49;67,3660362987177;2;2;3;4;4;"ov";"0"
-40;150;1300;-2;1983;1592;43,29;17,2;20;4,5;4,5;3,7;4;3;"am";"1"
-39,8333333333333;70;1000;-2;1981;1338;13,5;10;13;3;4;3;4;3,3;"el";"0"
-40,1833333333333;130;1000;-3;1980;1520;6,8;5,5;60;2,5;3,5;3,5;3,5;3;"co";"0"
-40;150;1300;-2;1983;2634;40,22;18,22;10;4;4,5;3;3,5;2;"nd";"1"
-40,95;180;1080;-3;1983;2552;5,78;7,21;13;1,5;3;4;4;4;"fr";"0"
-39,7166666666667;150;900;-2;1986;3266;20,16;9,21;48,151564086127;2,97430359768568;2,73933994427138;2,84840114095684;3,05481652317031;2,70171777794596;"am";"0"
-40,95;180;1080;-3;1982;1482;19,66;12,21;100;4,5;4;4;3;2,7;"fa";"1"
-39,8333333333333;70;1000;-2;1981;1111;17,6;12,6;71;3,5;3;3,3;2,5;2;"bxs";"1"
-39;200;1400;-2;1980;1362;11,88;8,23;68,3838907750446;2;4;4;4;4;"mn";"0"
-40,95;180;1080;-3;1983;2569;16,69;11,67;75;3;3,8;3,4;4;3,5;"nd";"0"
-41,2666666666667;300;1200;-3;1982;1171;10,81;3,45;100;3;2;1;1;1;"ka";"0"
-40,1833333333333;130;1000;-3;1980;1524;11,5;5,8;40;1,5;2;2,5;3,5;2,5;"rd";"0"
-40,95;180;1080;-3;1981;1785;4,39;4,03;88;1,5;1,5;2;2;3;"ov";"0"
-40,6;150;1250;-3;1983;1596;15,02;9,92;100;3,5;4;2,7;4;2,5;"nd";"1"
-41,2666666666667;300;1200;-3;1982;1340;1,56;2,16;50;1;2;2;2;3;"sm";"0"
-40,95;180;1080;-3;1983;1482;14,03;9,9;63;3,5;4;3,5;3;3;"fa";"1"
-39,8333333333333;70;1000;-2;1981;1598;15,2;14,4;100;4,5;4;3;4;3;"pu";"1"
-41,2666666666667;300;1200;-3;1982;2570;10,16;7,74;100;3;3;4;4;4;"ob";"1"
-40,95;180;1080;-3;1983;2548;2,95;4,43;13;1;2;3;3;3;"fa";"0"
-40,95;180;1080;-3;1983;2571;8,83;7,91;63;3,5;2,5;3,5;4;4;"ov";"1"
-41,2666666666667;300;1200;-3;1982;2571;16,79;13,17;100;4;2;3;3;2,5;"ov";"1"
-40;150;1300;-2;1983;2548;49,34;16,85;10;5;4,5;3,5;3,5;3;"fa";"1"
